category,average_views
Entertainment,9969.465372456665
Sports,7783.983448518028
Film & Animation,7865.342637737689
People & Blogs,6658.907520961081
News & Politics,6703.557434280382
Pets & Animals,7527.819473707805
Autos & Vehicles,7346.771524092875
Travel & Places,2892.132249014525
Music,10837.243634179767
UNA,42235.0272292301
Howto & DIY,10617.645347447498
Gadgets & Games,6717.73806046374
Comedy,13262.199354017206
