category,total_comments
Entertainment,3152605.0
Sports,1069881.0
Film & Animation,1797405.0
People & Blogs,1484148.0
News & Politics,1506638.0
Pets & Animals,243092.0
Autos & Vehicles,200424.0
Travel & Places,168911.0
Music,4910244.0
UNA,516367.0
Howto & DIY,545223.0
Gadgets & Games,1583402.0
Comedy,2961391.0
