category,average_rating
Entertainment,3.707526998720919
Sports,3.4132026401380147
Film & Animation,3.984612222336258
People & Blogs,2.9327504900446306
News & Politics,3.3952395501328256
Pets & Animals,2.8467956258206737
Autos & Vehicles,3.0784268325243107
Travel & Places,2.6063539196370553
Music,3.8876424353602816
UNA,3.9125263185177537
Howto & DIY,3.318971486972505
Gadgets & Games,3.6776253621734822
Comedy,3.2738322927831933
