video_id,uploader,age,category,length,views,rating,ratings_count,comments_count,related_videos
TCGSI47kz8U,pr4bh,694.0,Entertainment,1.2283983E7,3140.0,4.29,7.0,12.0,"d3WhIoSfNws,Lu_tL6KQplk,zfDja2altCE,g_vMR42_Alg,vXoOP5upfqI,ExAu5i6Wx8o,uEvq8APmK1M,Vd3kwnl1yvQ,x7yZvEePbUs,rlrg9Aw9oYc,wyXKCh_TFek,tUnfvr57uck,upQOuMVqONI,8ydLyRkfphQ,geVdNNZVbmE,OV2TQF3Xr5w,tyoLrCEBKGI,g8Hz-ksX_jM,UmRj5LHMI3Q,PNgpMYQKspU"
RkqQTsKVzAc,astrorider,693.0,Howto & DIY,4855737.0,109.0,5.0,1.0,1.0,"kAP2gEFrTKQ,x28_e5Rl3l0,W4V5tsB7pj4,TejsnPThmd4,8HYaWBRz8Ls,RWpRHshtwRI,iM2X6x4T5BI,xmsMbnONQmQ,rYFPvv63wh0,ggB0Tkc48mM,7obLT4s2-HA,zxDUSibU3SI,JJn4iOfr1oQ,ohQPOjvl7TE,G3O0tLH6xE4,-V3L88w0d88,XNuqYwsZuqA,ZeXA1H1jOaI,uqXxZ5txCYw,CIooqaBZmk0"
oTH7TNKjtic,rayan4rj,542.0,Music,4731877.0,3986.0,4.57,7.0,2.0,"e_-_Npu1D8c,bxZR0kKhR3E,fuIurhfwU2U,vyz6_isakgs,XshcHjWzwvQ,WPp_Ip2YQes,Qr7ROIfl0vQ,F-V7bfw_5w8,lceQetOz1a0,bpG3jNUE6UY,dfnd0fW4zMA,6hxM57MTDos,CD-GxUQsot4,vg6lJYwu2vI,RjHtnZOgmfs,CV3shjnSabs,cHFGj1ps3TA,EoINlr-cM8w,5nRjVtpMg-A,_BLTXPMhQuI"
sUumyEtnB-s,Linda80,660.0,Entertainment,2209571.0,3412.0,4.75,8.0,5.0,"3stM4X1lKeQ,rK8lNxCssKg,13_3N5iR-5w,EuUESRCRyRo,mfMeXoAC900,hhw2lr12Bqc,lzzjGliJAPc,fG5GT1jTDow,QTY-49wb4A8,msgmI95EY3k,-9DDJQ9m7TE,5eZHXp5T_UM,cW_nVIVJ7zc,CjRNusZJJ0s,IXRwWAVq0rA,3mJY5K8tzjE,VUvnohhrqGk,GXi3zA-LDUw,WVfn4bx7-b8,boQO9vU0OHE"
QR405BGwgEU,astrorider,681.0,Howto & DIY,1739610.0,572.0,4.67,3.0,0.0,"uqXxZ5txCYw,xk2rEnxD59s,Blok1yfGAm8,EYIn8kQCQXk,bLdux_4NaeI,KwFl9SjX1ek,v2MDFrUyipA,O7ziNlDXtX0,lX5bzk5IKf8,MTZYBUFcjbA,wBWDfgFx6_g,lpHf6XraoFI,EMbbl0fi0kM,ZP51KIFawaQ,9vZlmrfOVSk,Q0zArGB40Ug,6u0mAlc1pxg,rr6V47GCVU0,sUdgiqZyuc0,YEGfIbuHf6g"
