category,average_length
Entertainment,291.4755861073982
Sports,174.37502593650743
Film & Animation,252.9254266211604
People & Blogs,233.06172569140284
News & Politics,285.95908813024874
Pets & Animals,117.64948222531044
Autos & Vehicles,156.2641474710916
Travel & Places,191.79924713235556
Music,250.44430885608503
UNA,196.85063070900392
Howto & DIY,471.3739457059928
Gadgets & Games,233.06477848735645
Comedy,184.62660331066184
